,股票日期,更新時間點,股票類別,股票名稱,股票代號,開盤價,漲停價,跌停價,當日最高,當日最低,成交價,成交量
0,20210531,13:30:00,水泥工業,台泥,1101,50.6000,55.6000,45.5500,51.6000,50.5000,51.6000,1101
1,20210531,13:30:00,水泥工業,台泥乙特,1101B,53.5000,58.9000,48.2500,53.6000,53.1000,-,1101B
2,20210531,13:30:00,水泥工業,亞泥,1102,50.6000,55.4000,45.4000,52.4000,50.4000,51.9000,1102
3,20210531,13:30:00,水泥工業,嘉泥,1103,22.1500,24.1000,19.8000,22.7000,22.1000,22.2500,1103
4,20210531,13:30:00,水泥工業,環泥,1104,22.6500,24.6500,20.2500,23.0500,22.6000,22.7500,1104
5,20210531,13:30:00,水泥工業,幸福,1108,14.0000,15.3000,12.6000,14.3500,13.9000,14.0000,1108
6,20210531,13:30:00,水泥工業,信大,1109,26.0000,28.6500,23.4500,26.6500,25.9500,26.2500,1109
7,20210531,13:30:00,水泥工業,東泥,1110,16.0000,17.6000,14.4000,16.0500,15.8500,16.0500,1110
8,20210531,13:30:00,食品工業,味全,1201,21.5000,23.5000,19.3000,21.8500,21.4000,21.6500,1201
9,20210531,13:30:00,食品工業,味王,1203,35.4500,38.8500,31.8500,35.6500,35.4500,-,1203
10,20210531,13:30:00,食品工業,大成,1210,57.0000,62.2000,51.0000,57.8000,56.6000,57.7000,1210
11,20210531,13:30:00,食品工業,大飲,1213,9.0000,9.6200,7.8800,9.0500,9.0000,9.0100,1213
12,20210531,13:30:00,食品工業,卜蜂,1215,78.2000,85.8000,70.2000,79.7000,78.2000,79.6000,1215
13,20210531,13:30:00,食品工業,統一,1216,73.4000,80.0000,65.6000,73.7000,72.6000,73.6000,1216
14,20210531,13:30:00,食品工業,愛之味,1217,12.4000,13.4500,11.0500,12.6000,11.9000,11.9500,1217
15,20210531,13:30:00,食品工業,泰山,1218,29.1000,31.7500,26.0500,29.4000,29.0000,29.2000,1218
16,20210531,13:30:00,食品工業,福壽,1219,23.5500,25.5000,20.9000,23.8500,23.3500,23.5000,1219
17,20210531,13:30:00,食品工業,台榮,1220,16.7500,18.0500,14.8500,17.4000,16.6000,17.0000,1220
18,20210531,13:30:00,食品工業,福懋油,1225,44.5000,48.5500,39.7500,46.4000,44.5000,45.0500,1225
19,20210531,13:30:00,食品工業,佳格,1227,52.7000,57.8000,47.3500,53.9000,52.7000,53.7000,1227
20,20210531,13:30:00,食品工業,聯華,1229,49.0000,53.9000,44.1000,49.0000,48.1000,48.3000,1229
21,20210531,13:30:00,食品工業,聯華食,1231,59.8000,64.6000,53.0000,59.8000,59.1000,59.3000,1231
22,20210531,13:30:00,食品工業,大統益,1232,161.0000,177.5000,145.5000,162.0000,160.0000,160.5000,1232
23,20210531,13:30:00,食品工業,天仁,1233,34.5000,37.9500,31.0500,34.7500,34.4000,34.7000,1233
24,20210531,13:30:00,食品工業,黑松,1234,35.0500,38.5500,31.5500,35.2000,34.9500,35.0000,1234
25,20210531,13:30:00,食品工業,興泰,1235,33.6000,36.5000,29.9000,34.3000,33.6000,34.0000,1235
26,20210531,13:30:00,食品工業,宏亞,1236,15.2000,16.7000,13.7000,15.2000,15.0000,15.1000,1236
27,20210531,13:30:00,食品工業,鮮活果汁-KY,1256,477.5000,525.0000,430.0000,477.5000,471.0000,472.0000,1256
28,20210531,13:30:00,食品工業,南僑,1702,56.7000,62.1000,50.9000,57.1000,56.5000,56.9000,1702
29,20210531,13:30:00,食品工業,臺鹽,1737,32.0000,35.2000,28.8000,32.1500,31.8500,32.0000,1737
30,20210531,13:30:00,塑膠工業,台塑,1301,101.5000,111.5000,91.4000,104.5000,101.5000,103.5000,1301
31,20210531,13:30:00,塑膠工業,南亞,1303,83.7000,91.8000,75.2000,85.1000,83.5000,84.4000,1303
32,20210531,13:30:00,塑膠工業,台聚,1304,35.5000,37.6000,30.8000,37.6000,35.1000,36.3000,1304
33,20210531,13:30:00,塑膠工業,華夏,1305,35.3000,38.3000,31.4000,37.2000,35.1500,35.6000,1305
34,20210531,13:30:00,塑膠工業,三芳,1307,22.0000,24.0000,19.7000,22.2000,21.7500,21.7500,1307
35,20210531,13:30:00,塑膠工業,亞聚,1308,31.3000,33.3500,27.3500,33.0000,31.1000,31.9500,1308
36,20210531,13:30:00,塑膠工業,台達化,1309,41.0500,44.9000,36.8000,42.7500,41.0500,41.3500,1309
37,20210531,13:30:00,塑膠工業,台苯,1310,19.7000,21.4500,17.5500,20.3000,19.6000,19.6500,1310
38,20210531,13:30:00,塑膠工業,國喬,1312,26.7500,28.8000,23.6000,27.4500,26.6000,26.8000,1312
39,20210531,13:30:00,塑膠工業,國喬特,1312A,34.4000,37.9500,31.0500,34.5000,34.3000,34.3000,1312A
40,20210531,13:30:00,塑膠工業,聯成,1313,25.8500,27.9500,22.9500,27.1000,25.5000,25.7500,1313
41,20210531,13:30:00,塑膠工業,中石化,1314,13.0500,14.1500,11.6500,13.4000,13.0000,13.0500,1314
42,20210531,13:30:00,塑膠工業,達新,1315,70.8000,77.9000,63.9000,71.6000,70.5000,71.4000,1315
43,20210531,13:30:00,塑膠工業,大洋,1321,35.1000,38.7500,31.7500,35.6000,35.1000,35.3500,1321
44,20210531,13:30:00,塑膠工業,永裕,1323,33.8500,37.4500,30.6500,34.2500,33.8000,34.2500,1323
45,20210531,13:30:00,塑膠工業,地球,1324,10.9500,12.0000,9.8600,11.1000,10.6000,10.6500,1324
46,20210531,13:30:00,塑膠工業,恆大,1325,90.6000,100.5000,82.5000,91.5000,89.0000,89.8000,1325
47,20210531,13:30:00,塑膠工業,台化,1326,85.8000,93.9000,76.9000,86.4000,84.9000,85.6000,1326
48,20210531,13:30:00,塑膠工業,再生-KY,1337,7.8600,8.5000,6.9600,7.9700,7.5500,7.6200,1337
49,20210531,13:30:00,塑膠工業,勝悅-KY,1340,10.8000,11.8500,9.7200,10.8500,10.6000,10.7000,1340
50,20210531,13:30:00,塑膠工業,富林-KY,1341,78.9000,86.7000,71.1000,78.9000,77.8000,-,1341
51,20210531,13:30:00,塑膠工業,炎洲,4306,18.7000,20.4500,16.7500,18.8500,18.5500,18.6000,4306
52,20210531,13:30:00,紡織纖維,遠東新,1402,31.4500,34.3500,28.1500,31.9500,31.4000,31.6500,1402
53,20210531,13:30:00,紡織纖維,新纖,1409,21.6000,23.6500,19.3500,21.8500,21.3500,21.5500,1409
54,20210531,13:30:00,紡織纖維,南染,1410,35.1000,38.4000,31.5000,35.1000,34.4000,34.6000,1410
55,20210531,13:30:00,紡織纖維,宏洲,1413,12.1500,13.3000,10.9000,12.6000,11.8500,11.8500,1413
56,20210531,13:30:00,紡織纖維,東和,1414,18.4000,19.7000,16.2000,18.4000,17.5000,17.8000,1414
57,20210531,13:30:00,紡織纖維,嘉裕,1417,16.4000,17.9000,14.7000,16.4500,15.7000,15.7000,1417
58,20210531,13:30:00,紡織纖維,東華,1418,11.5000,12.7500,10.4500,11.5500,11.4500,-,1418
59,20210531,13:30:00,紡織纖維,新紡,1419,39.6500,43.6000,35.7000,39.9000,39.5000,39.8000,1419
60,20210531,13:30:00,紡織纖維,利華,1423,21.3000,23.3500,19.1500,21.4000,21.2000,21.2500,1423
61,20210531,13:30:00,紡織纖維,福懋,1434,30.9000,33.9000,27.8000,31.1500,30.8500,30.9000,1434
62,20210531,13:30:00,紡織纖維,中和,1439,24.0000,26.8000,22.0000,24.2500,23.8000,23.9500,1439
63,20210531,13:30:00,紡織纖維,南紡,1440,28.7500,31.2500,25.6500,29.0000,27.8000,28.0000,1440
64,20210531,13:30:00,紡織纖維,大東,1441,12.1500,13.2000,10.8000,12.2500,11.3000,11.7000,1441
65,20210531,13:30:00,紡織纖維,立益,1443,12.1500,13.4000,11.0000,12.4000,12.1500,12.4000,1443
66,20210531,13:30:00,紡織纖維,力麗,1444,12.9000,13.9000,11.4000,13.1000,12.6500,12.8000,1444
67,20210531,13:30:00,紡織纖維,大宇,1445,12.0000,13.0000,10.7000,12.0000,11.6500,12.0000,1445
68,20210531,13:30:00,紡織纖維,宏和,1446,28.8000,31.5500,25.8500,29.4000,28.7000,-,1446
69,20210531,13:30:00,紡織纖維,力鵬,1447,12.8500,13.9000,11.4000,13.1500,12.6500,12.7000,1447
70,20210531,13:30:00,紡織纖維,佳和,1449,15.7000,17.2500,14.1500,16.2500,15.7000,16.1000,1449
